AVL No. of operations,AVL Height,AVL Avg height of each node,AVL Rotation count,AVL Key comparison count
500,9,2.248963,182,3966
1000,11,2.343284,335,8803
1500,12,2.377410,586,14341
2000,13,2.388542,750,19714
2500,12,2.294851,902,25861
3000,14,2.337960,1059,31596
3500,13,2.337153,1217,37187
4000,14,2.321631,1518,43632
4500,14,2.340230,1607,49748
5000,14,2.336546,1766,55934
5500,15,2.335494,1986,62144
6000,15,2.320318,2238,68618
6500,14,2.320664,2365,75269
7000,15,2.344296,2583,82248
7500,15,2.325049,2852,88628
8000,15,2.341682,2879,95501
8500,15,2.329590,3167,101538
9000,16,2.334265,3321,108185
9500,16,2.332598,3502,115832
10000,15,2.329534,3671,121958
