BST No. of operations,BST Height,BST Avg height,BST Rotation count,BST Key comparison count
500,16,3.328431,0,4299
1000,17,3.232719,0,9857
1500,17,3.213141,0,15125
2000,19,3.320620,0,21310
2500,22,3.373371,0,28757
3000,22,3.413386,0,35185
3500,22,3.396952,0,43164
4000,23,3.463542,0,47033
4500,25,3.432775,0,57479
5000,25,3.410794,0,63146
5500,22,3.338597,0,67593
6000,26,3.378939,0,77796
6500,27,3.309791,0,93626
7000,24,3.404950,0,93137
7500,25,3.408263,0,105397
8000,26,3.421698,0,112152
8500,24,3.448837,0,116407
9000,26,3.418532,0,131076
9500,28,3.438691,0,130588
10000,26,3.432997,0,141132
