Treap No. of operations,Treap Height,Treap Avg height,Treap Rotation count,Treap Key comparison count
500,17,3.566524,514,4132
1000,20,3.473251,968,9701
1500,19,3.376197,1594,15388
2000,21,3.471503,2089,21045
2500,22,3.457811,2572,28908
3000,23,3.428471,3164,37060
3500,24,3.468495,3711,43234
4000,26,3.498679,4146,55461
4500,25,3.365685,4870,54992
5000,27,3.417791,5272,67518
5500,27,3.447398,5786,71512
6000,30,3.463542,6409,82105
6500,24,3.433483,6978,81519
7000,23,3.500898,7386,90308
7500,32,3.515798,8171,105545
8000,27,3.442149,8410,113230
8500,27,3.417073,9364,120444
9000,29,3.463963,9786,122806
9500,27,3.416961,10257,132959
10000,29,3.421096,10926,154046
